epoch,home_team,away_team,tournament,neutral,home_team_win_percent,away_team_win_percent,winner
-3063726238.0,H-Scotland,A-England,Friendly,F,0.0,0.0,Tie
-3055259038.0,H-England,A-Scotland,Friendly,F,0.0,0.0,Home
-3023809438.0,H-Scotland,A-England,Friendly,F,0.0,0.5,Home
-2992359838.0,H-England,A-Scotland,Friendly,F,0.3333333333333333,0.3333333333333333,Tie
-2960910238.0,H-Scotland,A-England,Friendly,F,0.25,0.25,Home
-2959095838.0,H-Scotland,A-Wales,Friendly,F,0.4,0.0,Home
-2929460638.0,H-England,A-Scotland,Friendly,F,0.2,0.5,Away
-2929287838.0,H-Wales,A-Scotland,Friendly,F,0.0,0.5714285714285714,Away
-2898011038.0,H-Scotland,A-England,Friendly,F,0.625,0.16666666666666666,Home
-2896196638.0,H-Scotland,A-Wales,Friendly,F,0.6666666666666666,0.0,Home
-2870190238.0,H-England,A-Wales,Friendly,F,0.14285714285714285,0.0,Home
-2863537438.0,H-England,A-Scotland,Friendly,F,0.25,0.7,Home
-2863364638.0,H-Wales,A-Scotland,Friendly,F,0.0,0.6363636363636364,Away
-2833902238.0,H-Scotland,A-England,Friendly,F,0.6666666666666666,0.3333333333333333,Home
-2833729438.0,H-Wales,A-England,Friendly,F,0.0,0.3,Away
-2832692638.0,H-Scotland,A-Wales,Friendly,F,0.6923076923076923,0.0,Home
-2803662238.0,H-England,A-Wales,Friendly,F,0.4,0.0,Away
-2802452638.0,H-England,A-Scotland,Friendly,F,0.3,0.8333333333333334,Away
-2802279838.0,H-Wales,A-Scotland,Friendly,F,0.125,0.8461538461538461,Away
-2772817438.0,H-Northern Ireland,A-England,Friendly,F,0.0,0.2727272727272727,Away
-2772212638.0,H-Wales,A-Northern Ireland,Friendly,F,0.1111111111111111,0.0,Home
-2771003038.0,H-Scotland,A-England,Friendly,F,0.8461538461538461,0.36363636363636365,Home
-2770830238.0,H-Wales,A-England,Friendly,F,0.2,0.3333333333333333,Home
-2769793438.0,H-Scotland,A-Wales,Friendly,F,0.8571428571428571,0.2727272727272727,Home
-2742577438.0,H-England,A-Wales,Friendly,F,0.3076923076923077,0.25,Home
-2740763038.0,H-England,A-Northern Ireland,Friendly,F,0.35714285714285715,0.0,Home
-2739553438.0,H-England,A-Scotland,Friendly,F,0.42857142857142855,0.9285714285714286,Away
-2739380638.0,H-Wales,A-Scotland,Friendly,F,0.23076923076923078,0.9333333333333333,Away
-2738948638.0,H-Northern Ireland,A-Wales,Friendly,F,0.0,0.21428571428571427,Tie
-2710522800.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.2,0.0,Home
-2709313200.0,H-Northern Ireland,A-England,British Home Championship,F,0.0,0.42857142857142855,Away
-2707498800.0,H-Scotland,A-England,British Home Championship,F,0.9285714285714286,0.4666666666666667,Home
-2707326000.0,H-Wales,A-England,British Home Championship,F,0.26666666666666666,0.4375,Away
-2706289200.0,H-Scotland,A-Wales,British Home Championship,F,0.9333333333333333,0.25,Home
-2677258800.0,H-England,A-Northern Ireland,British Home Championship,F,0.5,0.0,Home
-2676049200.0,H-England,A-Wales,British Home Championship,F,0.5294117647058824,0.25,Tie
-2675444400.0,H-England,A-Scotland,British Home Championship,F,0.5,0.9285714285714286,Tie
-2675271600.0,H-Wales,A-Scotland,British Home Championship,F,0.23529411764705882,0.8666666666666667,Away
-2673630000.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.0,0.2222222222222222,Away
-2653671600.0,H-United States,A-Canada,Friendly,F,0.0,0.0,Away
-2645809200.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.2631578947368421,0.0,Home
-2644599600.0,H-Northern Ireland,A-England,British Home Championship,F,0.0,0.5,Away
-2643390000.0,H-Scotland,A-England,British Home Championship,F,0.8571428571428571,0.5263157894736842,Tie
-2643217200.0,H-Wales,A-England,British Home Championship,F,0.3157894736842105,0.5,Away
-2642180400.0,H-Scotland,A-Wales,British Home Championship,F,0.8,0.3,Home
-2622394800.0,H-United States,A-Canada,Friendly,F,0.0,1.0,Home
-2616174000.0,H-England,A-Northern Ireland,British Home Championship,F,0.5,0.0,Home
-2614359600.0,H-England,A-Wales,British Home Championship,F,0.5238095238095238,0.3,Home
-2613150000.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.0,0.2857142857142857,Home
-2612545200.0,H-England,A-Scotland,British Home Championship,F,0.5454545454545454,0.8125,Away
-2612372400.0,H-Wales,A-Scotland,British Home Championship,F,0.2727272727272727,0.8235294117647058,Away
-2584724400.0,H-England,A-Wales,British Home Championship,F,0.5,0.2727272727272727,Home
-2582305200.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.2608695652173913,0.08333333333333333,Home
-2581700400.0,H-Scotland,A-Wales,British Home Championship,F,0.8666666666666667,0.30434782608695654,Home
